PotNum,Scenario,Nutrients,Taxon,Symphytum,Silene,Urtica,Geranium,Geum,All_Natives,Fallopia,Total,Pct_Fallopia
128,fluctuations,high,japon,1.5,24.72,11.09,6.99,0.85,45.15,15.78,60.93,25.9
129,fluctuations,high,japon,5.92,0,8.56,9.47,0.12,24.07,5.47,29.54,18.52
131,fluctuations,high,japon,13.44,27.25,2.5,5.85,0.08,49.12,0,49.12,0
132,fluctuations,high,japon,8.41,50.11,6.73,0.19,0.39,65.83,2.9,68.73,4.22
133,fluctuations,high,japon,4.91,21.07,4.81,0,0.28,31.07,0.83,31.9,2.6
134,fluctuations,high,japon,7.4,43.74,3.83,0,0.17,55.14,14.74,69.88,21.09
135,fluctuations,high,japon,8.23,38.74,15.99,3.39,1.8,68.15,1.33,69.48,1.91
136,fluctuations,high,bohem,11.75,22.6,4.29,5.2,0,43.84,4.04,47.88,8.44
138,fluctuations,high,bohem,10.91,24.56,1.61,9.18,0.13,46.39,5.03,51.42,9.78
139,fluctuations,high,bohem,8.42,17.65,15.32,9.8,1.25,52.44,5.69,58.13,9.79
140,fluctuations,high,bohem,11.59,23.48,3.78,8.2,0.35,47.4,3.11,50.51,6.16
142,fluctuations,high,bohem,11.11,0,28.23,0,0.54,39.88,14.95,54.83,27.27
143,fluctuations,high,bohem,5.06,12.81,23.82,3.64,0.16,45.49,21.31,66.8,31.9
144,fluctuations,high,bohem,19.93,21.07,6.08,2.8,0.43,50.31,0,50.31,0
145,fluctuations,high,bohem,4.89,32.93,6.3,9.64,0,53.76,2.36,56.12,4.21
147,fluctuations,high,bohem,7.84,31.16,13.61,6.58,0.03,59.22,3.74,62.96,5.94
148,fluctuations,high,bohem,4.15,38.7,23.59,5.11,1.36,72.91,5.89,78.8,7.47
149,fluctuations,high,bohem,1.72,10.41,23.48,8.51,0.43,44.55,19.7,64.25,30.66
