"ID","Species","G","C"
"NC7879760.1","A",22.1464476629765,23.4039970133881
"CG3965050.4","C",26.0091641737726,24.2362870782895
"NQ8720790.3","C",25.5235645964644,23.9052946906344
"QN1139040.1","B",23.512506502271,21.5934019128849
"CC9690100.4","C",31.0230478892607,31.2042306265549
"QG9267880.4","B",21.9407940679727,21.1477900669204
"QN4519860.3","C",27.409192484123,22.9560243738121
"QQ1469930.3","B",29.3779780875347,27.7906395558773
"GQ5860620.1","B",26.0366009420003,27.2363878594288
"NN5574650.3","A",21.2229981628674,19.60607668426
"GQ7758310.3","C",19.6155813178011,17.2911067901501
"CN7600140.1","B",24.788344420444,22.2208775544165
"HG7403470.3","B",19.6443158345989,19.0476627322091
"QG1102680.1","A",22.3288562556301,20.5177085146825
"HQ1305750.3","B",28.5000864289984,27.4119842058481
"QQ7621670.4","B",28.5936981997321,25.676283628427
"QC8459430.2","A",35.9861842413195,34.2070335999054
"HH9890510.1","A",27.020922895468,26.12078786431
"QG8256410.2","A",23.2088279407604,22.856411188542
"NN8953570.4","B",25.6646837103284,25.2964869555929
"CQ9516290.3","C",28.5899269648666,26.4675085492093
"NH6547920.2","A",28.7345873739239,27.8093448148453
"CG8702500.3","A",21.2550908380436,21.4848640606995
"HQ5956660.4","A",25.5864882179818,25.0575577365875
"HH9099550.2","C",21.5922674181102,19.4205218764498
"QH4843770.2","B",20.9837981527102,19.2531791008481
"QN8049330.2","C",22.3327072399487,21.8375883225688
"CQ6129570.1","C",27.9973576169548,26.7958482517246
"NH4481410.2","B",29.182213034456,27.0978812098386
"NC1162130.1","B",30.0384400503904,29.6738246951712
"NC6867020.2","A",28.404496295352,27.4708316309176
"CQ8553910.4","B",20.674242612189,18.7526962973976
"QC7550390.4","C",23.4318003670567,21.4330409770356
"NG3088120.1","C",22.4082993436689,22.4870630261511
"QQ4043800.3","B",34.5274833617477,32.523023471501
"GG7412510.3","B",22.8356639557746,22.6098302174935
"NN1080220.2","A",37.8183069013834,34.7405956952371
"CH9651890.4","A",25.9875485256077,25.3118566865174
"GN5307390.3","A",23.9925872218416,22.8331548970307
"NG4488980.3","C",22.3555959757746,21.5500295034005
"QC3281320.1","B",24.3106298352247,22.2995388197896
"QC6152540.2","B",27.511727105529,26.2202355296326
"CQ4883700.3","B",22.9920774450195,20.3421684761032
"CQ3205570.2","A",27.4147302550358,26.9477806533517
"QN5865870.3","A",27.6899122476881,26.1962127416291
"NC4796690.3","C",31.593758983292,30.7583981049978
"GH2832880.1","A",26.5161221517952,25.8704070247692
"NH6207240.1","C",16.8221282055224,17.57279067683
"NN3201040.1","B",18.3099872396849,18.5839205997929
"CQ9441370.2","C",23.2509534912065,22.9037480452327
"CG9120800.4","A",24.109790788351,24.0484108022543
"CN4668870.4","B",29.4968349785799,27.9484613258297
"NC8755060.2","B",23.4545889819746,21.4642404286699
"QQ2473960.3","B",31.1108786173664,27.650809662216
"GH1345980.3","B",28.885952458402,27.5890457691605
"NQ9699040.1","C",29.4552073973365,26.4551010613466
"NQ7041190.3","B",26.8071835783695,26.0749329595722
"HN5093540.4","B",29.1162805121409,26.1490999853507
"GC9533380.2","B",16.4149424310876,15.4010479154419
"QN9185270.4","C",31.2621975397818,29.1474041035901
"CN2504590.2","C",24.1404390234765,23.005642138434
"QC4430060.2","A",23.1993405458023,20.5169207811234
"QC8747750.1","A",30.2119484870339,28.3009603517992
"NQ8988350.4","B",24.0393967250086,23.305523495432
"QN4530050.2","C",24.4071711171824,24.3983527128342
"CN9296980.2","A",28.2463483399189,24.9544144968354
"QC6704360.4","B",32.3255471292666,28.6695521038172
"GQ8386350.3","B",22.4778151626462,21.1710083581226
"HH7518120.1","A",27.7567170830875,26.1045097964567
"CC3476460.1","B",28.8562052493479,25.87598967787
"HN7294300.1","A",31.382588137346,30.0865777643274
"GC4050190.2","A",25.5099054940817,24.8243337662577
"QQ7496390.4","A",32.7447604108224,30.5492499338786
"QN8673500.1","B",28.671710412259,27.161311012881
"HQ8622720.2","B",25.9662457882929,24.970859647274
"HC6623750.3","B",24.4132519981048,23.7073764973671
"QN5991550.3","C",35.2624525320832,34.2115675858718
"QN6817960.3","B",25.5923758521035,25.4750567398942
"HQ5755560.1","C",19.5548125456749,17.2231421687533
"QH3802160.2","A",26.6126143962345,24.9788408280171
"CC7857720.1","C",29.2019019877125,27.9182682096332
"QN4590920.2","A",22.2873145914721,19.7814393118058
"QN8020110.3","A",38.7841900911465,36.3263500973225
"GQ9399530.2","B",23.1173886446956,22.5831154153704
"QH7025560.4","C",24.820171777762,24.3104399430192
"NH4053550.4","C",31.9041181271041,32.0321535038663
"HH5136060.1","A",27.3579887197136,25.7506031445851
"GQ8576170.4","C",19.6152000469631,16.199727341119
"CH3598960.3","C",27.0104477422573,25.4753658730616
"QH2524250.4","A",29.5581536656502,28.2375327170113
"HC6693800.1","C",24.4467552291481,24.2745722646357
"GG8270790.2","C",21.1947753823016,20.6657455294812
"CC1082080.3","C",22.4489213739272,22.0651801571076
"HQ6327700.1","B",28.0877341162926,27.1089298674594
"GC8540720.4","A",18.6920064420055,17.8496854096156
"QG5469810.3","B",28.3676715924716,25.7002709851204
"HN9173920.2","A",23.8491537045356,21.8959416843318
"NN4215870.1","A",27.1227203259115,26.7771530424953
"GN7896890.4","B",29.0275829985535,27.4087923817034
"GG7863890.3","C",20.2454569290339,17.85738604422
"QN1520900.2","A",26.8558887228027,25.6282146460994
"HC2559140.3","B",26.9134019170443,25.1853412633368
"QN6729240.1","A",19.9883026121224,17.3568835690284
"CN3720480.2","A",32.9474480759552,31.8393714612979
"GH7062640.1","C",24.7138851356503,23.0458030926865
"GH1836910.4","B",17.9137401987511,16.5101627544828
"GQ1271760.1","C",22.9715351653396,21.3163700037043
"HN5037110.2","A",33.2490348831947,31.9833426574117
"CH4873990.1","C",29.4641767107488,27.5654103660149
"HC7344020.1","B",28.2615660120672,26.3745274234577
"GN7081310.2","A",26.0309368615847,25.1599627675274
"CG3176140.3","C",26.144364120427,23.0209979386336
"HQ8432900.2","A",25.1713958689655,23.9969628911195
"HN6409960.4","B",24.2870508093972,22.7112530350182
"QN5452360.4","C",18.2158657886221,15.1788042778439
"QG3410550.2","A",26.5658888548283,25.9932083429078
"NQ5081770.3","A",20.3512929755249,18.4433102029423
"CQ5186460.2","A",22.6573388106049,21.5421730328803
"GN2545580.2","C",26.7050102598652,26.0322192268043
"GN1948740.1","A",19.4163111688603,15.5464070807714
"HQ5908310.3","B",24.77186436347,24.0417783070694
"GN6765510.4","C",22.3958045668675,19.518329219013
"CQ4297170.3","A",27.5450794282547,25.773260565933
"GN7944450.3","C",30.5270511853177,26.4209539578606
"QQ3363370.1","B",22.0787025328092,21.4868429113848
"NH6956560.2","C",20.2713321848002,18.7247071115459
"HG8863780.2","C",21.7822790015032,21.1440042279955
"NH9490930.2","C",28.7514632646719,28.5724470113335
"NH4304970.4","A",21.5160823013408,18.8131454955364
"HG8547950.3","A",24.235574007451,22.813252508639
"CC2210830.4","C",23.1028335933533,23.2369588187396
"HC6987020.1","C",19.8794715165995,20.0840209625832
"CC5152520.4","A",30.7195939363825,27.752960567495
"CN2398850.4","B",20.2865214397159,21.17785424644
"CG4864240.3","A",22.3136445382354,23.4455945855829
"NC6085540.4","A",24.8204936010517,23.9355899535167
"HC8999910.3","A",26.8456588751943,25.2609264398833
"GC6875530.1","B",24.4868844428586,22.8551810238378
"QH5101210.4","C",29.7043671039855,28.0944719970396
"NN9527300.2","A",29.7907264917478,29.5286926042299
"HG4713460.2","C",36.0952932035794,35.3603474363775
"GH5139090.2","A",20.8126515409085,19.6926019335173
"CQ9505710.2","C",21.2228334809847,18.8693016307926
"HC6779580.2","A",27.803626104683,25.5353931682498
"GQ8181470.4","B",22.3060474308785,21.5688006767381
"GH4424770.2","A",20.9815793343269,19.0162283073956
"GH6947850.4","A",27.2232947274651,24.9083270449243
"NH2297310.4","A",30.1544232977197,28.6270567477768
"GC4295260.3","C",31.9231794201006,29.9613871839825
"NH6202410.4","A",32.9912310986528,31.111404767208
"CG1167870.3","C",26.658234182359,23.5482658318848
"NC2325730.2","B",24.4812746453723,23.6345365000948
"QN5390560.2","B",21.3929761249656,18.8318168879706
"GN3893840.2","A",18.8388266315702,18.8104995561889
"CN5890600.1","C",31.4201387128919,29.795399286872
"QC1047200.2","B",21.8378450538784,21.3425218482756
"CG5651610.4","C",21.1413712434377,19.5358961654107
"GQ8758620.2","A",24.1124955383855,21.3736278019099
"HH7346640.2","B",35.3668077904587,34.7405261840545
"QH3149180.4","A",26.8137666534407,26.8231379190704
"CC6646820.2","A",23.0107023419321,19.2324656268967
"QQ1982510.3","B",16.3031009211957,16.7166910277771
"NC1095420.2","A",24.8255786264127,23.5150777109578
"HG3170260.3","C",30.3681344007017,26.9187882676699
"HQ1698810.3","B",24.9658668822328,23.9130090884954
"QN9980650.4","C",25.9212558657427,24.5438025228208
"HG1629310.4","A",30.4526159327392,28.3863312181605
"QQ5375260.4","A",30.137376417883,30.7650394387888
"NC2346630.2","B",26.198852482093,25.0268777403202
"NN3211370.1","A",23.1165605765964,21.9532172620048
"CC7208140.3","A",21.3131524099355,20.1809695250078
"GH5962010.2","A",24.416555549582,23.1235841737307
"QH4947100.1","B",32.1219332613724,30.8335160522726
"NC6592370.3","C",30.9855881508609,27.7960253165364
"NC2054820.2","B",35.9711636235926,34.3621878375523
"CH1061160.2","A",25.8951377503895,24.8168778313591
"NC7936920.3","A",22.8417109581026,22.2958257569953
"NH8023970.2","C",31.1140074442588,30.1322025869286
"QH9244190.3","B",29.3937576506972,28.1383984415052
"QH6999780.1","C",25.5141742473801,26.3807030916926
"QH7038970.1","C",14.0836852095037,14.4175431705003
"HQ2872380.1","B",25.9404652255579,23.2797633644712
"NC5430060.2","C",22.7760696224717,22.7219770493077
"GQ6775920.3","B",27.0727728767192,25.2747030617543
"QQ4670540.2","B",21.3966758475755,20.2120488314982
"CN6573560.1","C",22.1419320866756,21.7085510108465
"QQ4709740.1","A",20.8951203012411,20.5082521775805
"CC7191270.3","B",32.8916985157228,32.0590986280618
"GG1941600.3","A",23.667153627543,22.0445775962165
"HC6161170.3","B",23.4056100752822,23.3957359157503
"CH9147340.1","B",25.8779823063248,23.2407358808181
"QH6975020.3","B",24.1424550436033,20.7822081535511
"HH1564820.2","C",24.1711254057419,24.3718698910954
"CN7437860.1","C",31.8771559790501,30.0349422566909
"GH6930140.2","A",26.2790686977201,23.6232548442919
"CN1655510.3","A",19.9215283872127,18.6720957388774
"GQ7764840.1","A",27.501331898811,26.1773432664153
"QC8021670.4","B",23.5719743552986,21.9265443939029
"CN3491870.3","A",22.9237729187323,19.806536767826
"NN5020700.1","A",23.4050045432564,24.0037016940697
"QC3867840.3","B",25.6911253814624,24.990073095166
"HQ2296000.1","A",28.9865212378244,25.8011862605763
"CH8127610.4","A",27.6394844125532,26.1154847948875
"NN9265120.4","C",24.6305368164651,23.7561505699005
"NG8284720.4","B",19.2835488915159,17.4906471527463
"QQ2194460.3","A",20.195895174437,17.669164817271
"NH8258640.3","B",31.2536261339482,29.2275607477169
"QH6118180.3","B",23.9808537363767,20.8417412715676
"QG8143260.3","C",23.7117113504887,21.548852613394
"QN3744740.3","C",31.439053681666,28.5641424396514
"GH4426910.3","B",24.8201364303265,24.8027287973929
"NN6905000.1","B",20.8796036690025,20.1407950877609
"HQ3336810.1","A",25.8322633938144,23.8520860364763
"QN6147390.3","A",24.595392292496,22.8964321168325
"GC1189870.1","C",31.8497135326235,29.4051778677704
"HQ4273970.4","A",24.1159158623875,22.107486774732
"QG7692430.2","B",18.8889021467698,17.9411101152577
"HC3313890.3","B",24.9519343007257,24.0305512168757
"QC1170490.1","A",26.5491686358402,23.7515747800923
"NG7291660.2","B",23.270926240271,22.0174377633501
"QG4140110.2","B",23.8194637214159,22.0362311942996
"NN5204790.1","B",25.915377306939,24.6245934187082
"QN8681700.3","C",28.6750390471405,26.3840290068536
"GH6514290.3","B",18.9000364764173,18.2206070628359
"CN4709520.1","A",23.9160537106467,20.7927223403837
"NN8351380.4","B",28.2028083217237,25.0666925661123
"GQ2012880.2","C",30.0795157540981,28.5455799343858
"HQ2170510.3","A",29.3756824774756,25.0004540926375
"HN3955410.4","C",32.2416254763407,31.0729804675361
"NN9405380.4","A",21.2596553465718,20.3286858493062
"HG1016180.4","C",19.917652578041,19.7514776579814
"QH1774660.1","B",20.937978906117,19.4364718465669
"GQ7646340.2","A",24.3792214944926,21.4659441258966
"CN7094030.1","A",25.0735286892848,23.5317972566325
"GG3533370.3","C",28.7575128401912,27.1257154464961
"NG7083050.2","C",28.2465234626033,27.4765270345048
"GH1703890.2","A",27.0212677810446,27.5564745326377
"NQ9314080.4","B",32.0982202492435,29.3880806887172
"NN6163250.2","A",28.5974283810461,27.7319989486286
"GC1445390.1","B",24.0004920384598,21.3380452348109
"CG3209520.3","C",23.1495241139521,22.4739717475795
"NG9249980.1","B",29.5698174159186,29.801782174
"GQ4131550.1","B",25.9105159522197,25.9477111653113
"HQ9899450.2","A",25.1309140248681,22.2732272796852
"CH4562110.3","A",24.3405473148381,23.4044318264157
"QQ6780070.1","C",20.8746399768674,21.9935276795218
"CG6661910.2","C",29.6539439288989,28.0291963238305
"NN9594990.2","A",22.7285325957584,21.9548508423639
"CG1277200.1","C",23.8002164359196,22.1269233905855
"QG5920700.4","C",28.4633134632034,27.3256909568358
"QC3250780.3","A",24.7924783308833,23.7847902289668
"GC7589270.3","B",33.222533764784,32.1734867020541
"NQ2545100.4","A",32.133555414976,30.87651465774
"QH2622670.1","C",18.4678949668976,17.6956434753628
"NG8931280.1","C",25.9423937319709,24.8017817108187
"CG8260660.2","C",24.7796780180305,26.1120346895247
"NN2571270.4","C",24.1881544714311,23.2242287186121
"NG8049260.1","C",25.6384785734402,23.746272443548
"GH7005990.2","A",22.8918443586639,22.0568779583981
"CQ1467370.3","B",24.003777403753,22.6794530259218
"QN1514310.1","A",26.7339129536858,24.7618951981867
"GH5183950.2","B",29.2253352220837,28.9123318995492
"GQ6463680.1","B",23.7876469306753,22.5679678862432
"QH6087680.3","C",19.3532764503147,17.6859121127908
"HN2303640.1","B",26.5153632174926,24.2827815594177
"NN6600460.3","B",26.7580279785871,26.1201827938868
"QC8082590.4","A",24.6435436936116,24.0107542002212
"NH7084400.3","C",21.8367857689856,20.08297239623
"GQ4868420.1","A",27.01724996918,25.8283886839187
"CH8218580.2","C",26.9142103844863,26.0420696640512
"CQ3593890.4","B",26.060997237283,25.2166088669807
"CC2076380.4","B",27.5659196133756,25.9102418903485
"HG6571120.4","C",23.2809492053804,22.977276549778
"GQ8456550.1","B",27.0756920312335,26.7100356594901
"NC4640950.3","C",26.1517625260186,24.0608518148642
"HG4129400.3","A",25.7503235587261,24.232829278181
"HG7357980.4","A",20.5601189996126,18.3308709244383
"CG2029120.3","C",25.460523192321,23.8908312395715
"NN2052120.1","C",30.1917539228558,28.3786730486541
"QN2424050.1","A",32.3068629795229,30.041349024225
"QN3691600.4","C",32.8187489449146,31.0864182734004
"GQ2138800.4","B",30.4909448484876,30.8026189578223
"HN8699460.2","B",20.7891730296163,20.7740765974812
"QG3563630.2","A",27.6253453255442,26.9727874923748
"GQ8551170.1","B",22.1604190226208,21.5511206014414
"GG3947390.1","A",32.9941908566206,30.9070395221005
"GG7512950.2","C",23.8174494690104,21.389763672971
"QC3082660.4","C",24.465333515259,22.6318740054337
"GC3096500.3","A",24.342600479138,21.656626612294
"NQ3473700.4","B",33.3988658484285,31.9977963696666
"HG7007860.1","C",23.66107457208,23.7437164398614
"HN9717290.2","B",29.8644277065496,28.3562739845129
"QH6015930.1","A",16.0245695467659,15.1419562234242
"NN7050710.4","C",29.3059400499634,28.5150319846184
"HG1395280.4","B",20.6851095490335,19.1527647286748
"NQ5282420.1","C",26.586720193051,25.7419289863887
"HH3756860.1","B",26.437662374865,25.4615282516947
"NN5047530.1","B",29.8487117554973,28.3720035313443
"GQ5989950.1","A",20.8833534501752,18.8034262585568
"QH4732150.1","C",28.0338856212503,28.2073198825212
"HN8483240.1","C",21.7105296513693,21.3778200039509
"HG1234160.2","C",24.4587313421502,24.7558735605584
"CC3404240.3","C",29.5357642563013,29.4533196970913
"CH5779300.2","C",21.2168936903031,18.1042010860743
"HC5575090.1","B",23.901969508296,21.794292733887
"CC4754260.3","C",25.37216878825,25.4734994813607
"CC7459080.3","A",21.1455417591977,19.6421964226848
"CH1683380.4","B",25.0773837710202,24.4452393061204
"GN4734320.3","A",23.874252977116,20.9505458930526
"NH7282240.1","B",30.4036762717872,30.0295987516826
"GQ7981140.2","B",30.3710554428354,26.6271562668373
"GN1317350.3","C",22.9058396703639,22.9533644968694
"HG8035820.4","C",25.0794908703216,23.5190178786685
"HH5022110.4","A",24.4137723403169,25.4146722324228
"NG3553340.4","C",28.4005093815004,26.2276596434291
"CG6536370.2","B",20.3319544385948,17.4255284237524
"HC8363750.4","A",20.55786615581,18.4656511694016
"HN5824910.4","B",29.9552495501532,28.9251334481799
"NC1616260.4","B",26.6187505544047,24.5351781963702
"NG6353400.3","A",24.9288150127239,24.302403671249
"HG8309560.2","A",25.7408872876648,22.6476613269543
"CQ2318470.4","A",26.6123446393381,25.2428558528462
"NH4585070.4","C",25.5372541252846,24.310069237539
"CH9052890.4","A",25.8625794689659,25.0300657599386
"NQ1274680.4","B",32.2546503942783,30.6555111811626
"HH7514050.2","C",23.1542278108618,23.1789674857119
"NG6058040.1","C",32.5908837387458,31.5506755179363
"CQ8338800.3","C",21.8374910064052,20.6755239716571
"GC5295650.4","B",30.268251608929,29.2648518122601
"CH1688270.4","B",22.9669218691257,22.5186140069045
"CH1550290.3","A",24.4569775907968,23.2695584858674
"GG6240850.2","B",22.5285947752639,22.1557012852516
"HG3473590.3","A",23.163587257496,21.7815841642285
"NQ2680750.2","B",18.4009166089813,18.8227901739827
"QN2430470.3","A",23.8507014311587,22.9982173074565
"GG9282390.4","C",30.1048124355907,29.6607154285195
"CC9519910.3","C",27.2333549345229,24.3892331907778
"GH4218370.2","A",28.4043772169559,26.8173850272899
"GH6407460.1","C",19.8315233291522,18.3579461578291
"GN4937510.3","B",29.4719982849761,29.2552402021993
"HG2187640.2","B",17.3555375404601,15.6264891506471
"GQ2979810.4","C",24.2758834128206,22.8263823840373
"CC5158910.1","B",23.7076898716507,23.3463911488595
"QH8702130.3","A",29.8184607579838,28.1246843730949
"NN4245520.3","C",21.4312295140482,20.9571617393478
"HC4583440.1","B",29.7684028212411,26.7849058480366
"NH9139530.3","C",24.514941198352,23.2478283284761
"NG7445350.1","B",18.9913127550994,17.7258748279055
"GG9052170.2","C",29.0169337753867,28.2160400579151
"NG6330620.1","A",21.9512986838008,20.9669837123342
"QN4077380.2","A",22.5160154651133,20.2568023911582
"GQ9234960.2","C",29.8605383170644,28.9193514239653
"CC7736300.4","A",26.2656042905113,26.1993231613912
"HC4479810.4","B",23.2031979857166,20.1930431131289
"NC3176160.4","B",26.7265667959563,26.5959535096384
"GN7867430.3","C",30.8566735161025,27.8364309191819
"HG4238850.1","B",23.9642725026774,22.7426209610436
"NG1703130.1","A",23.8499232957419,21.4005487191254
"NG3109350.1","B",23.6198284693119,22.6730977096631
"GH8063310.1","B",23.2701970040389,23.7386238767536
"HN7104310.1","A",29.9698482606528,27.2490078214013
"CH2314770.4","C",24.6564334864058,23.1020033842316
"GH8207050.3","A",30.9704514339702,30.2665147353956
"NH1419460.2","A",17.6832581176954,17.4576632415983
"HN2154060.1","C",22.9635286284542,23.1373589455315
"NG9128530.4","C",30.3842408601586,25.9338203887944
"QC6066860.2","A",26.079925047093,25.1239485696645
"NH1358600.2","A",24.3285998489111,21.9003277943393
"HC3287960.1","B",24.6914292175004,22.9074907084731
"HH4585660.4","C",25.0486048815476,23.3569880092773
"HN8220030.1","B",32.8515389293597,32.7033815755171
"CQ6694390.2","A",26.9683582798273,28.3171171830941
"CN5007110.3","A",22.7438642357377,21.8186503372621
"HQ1706350.3","B",24.7485807674099,24.5149807520235
"NH2314820.2","B",22.5407752948142,21.8224267059626
"QQ3846090.1","A",24.7457892958703,23.3306373760896
"HC6857950.2","A",31.0581531009597,29.3625328356377
"CG9021010.2","C",24.0871702032031,22.3983005248419
"CN5832780.2","B",22.2457462989905,20.372001087453
"QC8397540.4","A",25.0134722516272,21.8188199937479
"NG5554280.1","B",31.6449632798543,29.5359544205925
"HG6659900.2","C",26.3433600225437,23.8211150129023
"CQ2355530.2","B",30.2853666886305,28.6482705200512
"CG1931130.2","A",19.6728421716004,18.588185912335
"NC4620350.3","B",32.7182158611567,31.2245831432879
"GH3369380.2","B",21.4375718096506,21.4050511992294
"NG1422560.3","B",32.2817513533493,30.4082419826409
"HQ6146890.2","A",32.4784920227216,30.0203183216757
"QQ8094600.2","C",25.6051350205576,23.3919497739158
"NQ6936590.4","A",19.6561008309634,19.3169234977148
"NN9129990.3","B",26.3664811522819,24.0815012731086
"NG4078170.1","A",26.2236812270777,24.8946728263259
"CQ6013430.3","A",22.0620622184156,20.8048143223178
"CC6596730.2","B",24.2490929668168,21.8095363400028
"NC5194400.4","A",15.2907262576496,15.3095376282955
"GG9453710.1","B",24.1165917053825,24.2105770604509
"CH2490790.4","A",28.4055548009408,27.7619605464514
"HN6069900.1","C",27.1613631573567,25.1326490260199
"CQ3638460.3","A",24.9850842143529,23.3860768478987
"NH9966900.3","C",21.9895073977836,20.9975543044085
"QQ4233570.1","C",21.9214163971329,20.3261818870122
"NQ1045940.4","B",22.9241088939155,23.5604547034102
"HC9049700.4","C",29.1286279418339,28.5784901569863
"GN8132700.3","A",14.8257315876196,14.4120385216596
"HN2065950.3","A",27.2157825710647,25.8661193945889
"QC6888410.3","A",26.670080520774,24.1524023273911
"QN3980330.4","B",27.7317604655076,28.5905802812222
"HN9164950.1","B",24.689501741006,23.6326979637739
"NH1104580.1","C",30.6368832127026,30.664116384702
"CG5129640.3","C",21.9139228354928,22.6025383384188
"HG8307620.1","C",26.2487880782709,24.2109251957264
"CQ5582890.3","A",24.8503551777857,22.5882628197065
"CN3404860.2","A",23.2331045548437,20.834853766005
"QQ4878030.3","B",24.6685829612561,22.5294482798376
"QG9259520.2","C",26.7627978281074,26.2303293817843
"QN8332780.4","A",34.6487652382957,32.0509274658721
"NC1258670.4","C",28.0077481598221,26.3507904584218
"GH1650620.3","A",19.6825322703571,20.8776031399888
"HQ5275810.3","C",22.619584103692,20.0827296260323
"CH1487030.1","A",22.8880964153858,22.4496457292343
"CG1919400.2","A",31.1400447966412,29.6007797659096
"NC9639760.3","B",23.9784611226279,20.6708504595568
"QN8951590.2","C",26.4884388970477,24.863540372186
"GN4222570.3","A",23.2902048467498,21.8836375850524
"GQ4651730.3","B",24.090591140457,24.3143150956241
"GQ2843790.4","B",33.5358810379821,31.9512599344789
"GN2899700.4","B",24.7271426145447,21.9768478681103
"NH2157500.3","B",31.1014939422409,28.88683739458
"CQ5362340.2","C",24.1145998912175,23.288203071698
"HH5600040.1","B",26.0684369735705,26.6219700143517
"HH3802650.4","A",20.6610407602078,20.8780154243921
"HG1147670.1","B",25.1802385039165,24.3674116521277
"GH7418840.3","A",20.5892597715043,18.8340043312398
"CQ8377550.2","A",27.286621710021,22.9873598898822
"CN8232980.4","C",28.5089407209905,27.3814677685487
"GN9149500.4","A",20.6710347385764,20.100300369505
"GQ3024300.2","C",26.1650593326709,24.7017695329579
"HC3032980.1","B",25.1762779056941,23.0187683409943
"CH1013590.2","A",18.1503584355601,16.0005046065487
